,Activation,nLayer,nHiddenNeuron,nIter,Loss,Misclassification
0,logistic,50,80,5,2.3025964916122237,0.9
0,logistic,50,90,6,2.3025978908678226,0.9
0,logistic,50,100,6,2.3025992608702,0.9
0,logistic,60,80,7,2.3025986621329104,0.9
0,logistic,60,90,6,2.302600365825853,0.9
0,logistic,60,100,6,2.302602045803664,0.9
0,logistic,70,80,6,2.3026008854656723,0.9
0,logistic,70,90,5,2.302602909036507,0.9
0,logistic,70,100,6,2.302604820660635,0.9
0,relu,50,80,6,2.3026191976829318,0.9
0,relu,50,90,7,2.3026233591194147,0.9
0,relu,50,100,7,2.3026276406227484,0.9
0,relu,60,80,7,2.302625830681154,0.9
0,relu,60,90,7,2.30263090738529,0.9
0,relu,60,100,8,2.3026359444865068,0.9
0,relu,70,80,7,2.302632524058435,0.9
0,relu,70,90,7,2.3026384325742484,0.9
0,relu,70,100,7,2.3026442836082888,0.9
0,tanh,50,80,5001,0.5233640624582203,0.6739999999999999
0,tanh,50,90,5001,0.02217026582429128,0.6034999999999999
0,tanh,50,100,5001,0.007545606454320635,0.6074999999999999
0,tanh,60,80,5001,0.1950813982520118,0.702
0,tanh,60,90,5001,0.8786736988815679,0.635
0,tanh,60,100,5002,1.3132483699199589,0.6045
0,tanh,70,80,5001,1.5309434014034733,0.6875
0,tanh,70,90,10,2.3026256227116395,0.897
0,tanh,70,100,5001,1.4364627960807355,0.6325000000000001
0,identity,50,80,5001,0.9848735026830119,0.5395
0,identity,50,90,5001,1.0329103215884679,0.517
0,identity,50,100,5001,1.1223174886654532,0.5175000000000001
0,identity,60,80,5001,1.3635689484744988,0.5469999999999999
0,identity,60,90,5001,0.8611426227485368,0.5409999999999999
0,identity,60,100,5001,0.645189560612939,0.567
0,identity,70,80,5001,0.9360369752313414,0.55
0,identity,70,90,5001,0.8130515822787007,0.571
0,identity,70,100,5001,0.5753384896379589,0.5875
